,備考,"Main_No
(BTS#)",Estimate_VendorType,"Estimate_ModuleMain,Main_ModuleMain","Estimate_ModuleSub,Main_ModuleSub","UN_Summary_J
現象/機能のサマリー(日本語）",UN_Summary,"UN_Detail_J
現象/機能の詳細(日本語）",UN_Detail,"UN_ImpOpeResult_J
改善後の動作と結果(日本語）",UN_ImpOpeResult,"UN_RelevantRevision_J
現象発生レビジョン(日本語）",UN_RelevantRevision,RelatedPackages,ReferDoc,ReferDoc_J,OutputProduct,InputFileName,responsibility for the UN contents
R1.02_01,9/14 追加,BTS00028622,Defect,TDL,Testing Unit Class,SIGDCクラスで、同じピンをMDCまたはUDCにDCリレーを接続できなくなる場合がある現象,DC relay was not connected to MDC or UDC at the same pins in the SIGDC class.,"SIGDCクラスで以下のいずれかの条件を満たすとき、Load()メソッドでピンをDCリレーに再接続することができない場合がありました。

（条件１）MDCに、DPINまたはPINLISTで複数ピンのDCリレーを接続する
UDCに、MDCで接続したDPINまたはPINLISTのDCリレーを接続する。
MDCに、UDCで接続したDPINまたはPINLISTのDCリレーを再接続する。

(条件２）MDCに、HSIFPINまたはHSIFPINLISTで複数ピンのDCリレーを接続する
UDCに、MDCで接続したHSIFPINまたはHSIFPINLISTのDCリレーを接続する。
MDCに、UDCで接続したHSIFPINまたはHSIFPINLISTのDCリレーを再接続する。

（条件３）UDCに、DPINまたはPINLISTで複数ピンのDCリレーを接続する
MDCに、UDCで接続したDPINまたはPINLISTのDCリレーを接続する。
UDCに、MDCで接続したDPINまたはPINLISTのDCリレーを再接続する。

(条件４）UDCに、HSIFPINまたはHSIFPINLISTで複数ピンのDCリレーを接続する
MDCに、UDCで接続したHSIFPINまたはHSIFPINLISTのDCリレーを接続する。
UDCに、MDCで接続したHSIFPINまたはHSIFPINLISTのDCリレーを再接続する。","DC relay was not reconnected by the Load() method if manipulating it as in either of the following relay-on/off condition in the SIGDC class:

Condition:
(1) DC relay is connected to MDC at two or more of the DPIN or PINLIST pins.
DC relay is connected to UDC by disconnecting the MDC-connected DPIN or PINLIST pins.
DC relay is reconnected to MDC by disconnecting the UDC-connected DPIN or PINLIST pins.
(2) DC relay is connected to MDC at two or more of the HSIF or HSIFPINLIST pins.
DC relay is connected to UDC by disconnecting the MDC-connected HSIF or HSIFPINLIST pins.
DC relay is reconnected to MDC by disconnecting the UDC-connected HSIF or HSIFPINLIST pins.
(3) DC relay is connected to UDC at two or more of the DPIN or PINLIST pins.
DC relay is connected to MDC by disconnected the UDC-connected DPIN or PINLIST pins.
DC relay is reconnected to UDC by disconnecting the MDC-connected DPIN or PINLIST pins.
(4) DC relay is connected to UDC at two or more of the HSIF or HSIFPINLIST pins.
DC relay is connected to MDC by disconnecting the UDC-connected HSIF or HSIFPINLIST pins.
DC relay is reconnected to UDC by disconnecting the MDC-connected HSIF or PINLIST pins.",SIGDCクラスで、同じピンをMDCまたはUDCに正しくDCリレーを接続できます。,DC relay is connected to MDC or UDC properly at the same pins in the SIGDC class.,R1.00_00以降,R1.00_00 and later,AT_T6KCommon_x64,内部変更のため、マニュアルに変更はありません。,There is no change in the Manual for the internal change.,PLXM20-MD,UN_ASDSoft3.xls,"ASDSoft3
小林"
R1.02_01,"・9/15 追加
・R1.02_00については、""R1.02_00以降""の""以降""をカットして『R1.02_00』にしてください(10/1)",BTS00028640,Defect,TDL,Testing Unit Class,任意ピン同時測定時にOUTBLOCKクラスを使用するとき、ファンクショナル試験でハングアップする現象,Hang up would happen in the functional test if using the OUTBLOCK class in the free-pin-assignment parallel test.,"以下の条件をすべて満たすとき、ファンクショナル試験の次のメソッドでハングアップしていました。

条件：
データ・ログ機能が有効のとき
(1)PARALLELクラスのpin, lcdpin, rvspinデータ・メンバに""FREE_ASSIGN""を指定する
(2)テスト・プラン・プログラムの実行を開始するときに、測定対象になっているDUTの数が2以上である
(3)デジタル・ピンとLCDピンのLPATプログラムでOUTO命令を使用する
(4)OUTO命令を使用するパターンで試験結果がフェイルする

データ・ログ機能が無効のとき
(1)PARALLELクラスのpin, lcdpin, rvspinデータ・メンバに""FREE_ASSIGN""を指定する
(2)テスト・プラン・プログラムの実行を開始するときに、測定対象になっているDUTの数が2以上である
(3)デジタル・ピンとLCDピンのLPATプログラムでOUTO命令を使用する
(4)CONTACTクラスでDUTを測定対象から除外する

ハングアップするクラスとメソッド：
・MEASURE_FTクラスのExec()メソッド
・MEASURE_FTクラスのStart()メソッド
・VECTORFILEクラスのPreExec()メソッド
・VECTORFILEGRPクラスのPreExec()メソッド","The below listed methods of the functional test did not operate correctly resulting in hang up under all of the following-met condition:

Condition:
Note-I: Data log function is enabled in each of the condition.
(1) Specify ""FREE_ASSIGN"" in the pin, lcdpin, or rvspin data member of the PARALLEL class.
(2) When the test plan program begins execution, two or more of the DUTs are targeted for testing.
(3) The OUTO instruction is used in the LPAT program which includes the digital pins and LCD pins.
(4) The functional test fails in the LPAT program with the OUTO instruction.

Note-II: Data log function is disabled in each of the condition.
(1) Specify ""FREE_ASSIGN"" in the pin, lcdpin, or rvspin data member of the PARALLEL class.
(2) When the test plan program begins execution, two or more of the DUTs are targeted for testing.
(3) The OUTO instruction is used in the LPAT program which includes the digital pins and LCD pins.
(4) The DUTs are excluded by Off() method or OffNum() method of the CONTACT class.

Issue susceptible methods:
 - Exec() method of the MEASURE_FT class
 - Start() method of the MEASURE_FT class
 - PreExec() method of the VECTORFILE class
 - PreExec() method of the VECTORFILEGRP class",任意ピン同時測定時にOUTBLOCKクラスを使用するとき、ファンクショナル試験が正しく動作します。,Functional test is executed properly using the OUTBLOCK class in the free-pin-assignment parallel test.,R1.02_00のみ,R1.02_00 only,AT_T6KCommon_x64,,,PLXM20-MD,UN_ASDSoft3.xls,"ASDSoft3
大泉"
R1.02_01,9/9追加原稿,BTS00027865,Enhancement,GUI_Tools,STDF Tool,STDFソフトウェアの動作を制御するSTDF Toolの追加,"Addition of STDF Tool, which controls operations of STDF software","STDF Tool を使って、以下のことができるようになりました。
・ログ・データ取得の開始、および終了
・ログ・データのファイル出力
・ログ・データ取得状態の表示
・STDFソフトウェアの動作を制御する各種設定の表示、および変更","The following operations can now be performed using STDF Tool:
- Starting and stopping log data acquisition
- Outputting a log data file
- Displaying the log data acquisition status
- Displaying and changing various settings for controlling operations of STDF software",,,,,OAI_T6KOS_x64,T6391 システム・ソフトウェア STDF ユーザーズ・マニュアル,T6391 System Software STDF User's Manual,"PLXE61,PLXT61",UN_APSoft1.xls,平
R1.02_01,,BTS00028029,Enhancement,STDF,Command,STDF対応,Support for STDF,"STDFソフトウェア・コマンドを対応しました。

本コマンドを使用することで、STDF出力の設定および出力制御を行えるようにしました。","STDF software commands are now supported.

By using these commands, STDF output can now be set and controlled.",,,,,OAI_T6KOS_x64,T6391 システム・ソフトウェア STDF ユーザーズ・マニュアル,T6391 System Software STDF User's Manual,"PLXE61,PLXT61",UN_ASDSoft3.xls,ASDSoft3 篠田
R1.02_01,最終入力日付：9/16,BTS00028499,Enhancement,TDL,Testing Unit Class,テスティング・ユニット・クラスの実行時間の高速化,Improvement of testing unit class execution time,"以下のテスティング・ユニット・クラスの実行時間を高速化しました。

対象クラス ： DPSVSIMGRPクラス
条件 ： dpsvsimデータ・メンバに2個以上のDPSVSIMオブジェクトを指定し、Load()メソッドを実行する
改善時間 ： 600uS～1.3mS

対象クラス ： SEQUENCEクラス
条件 ：PreExec()メソッドを連続で実行する,またはPostExec()メソッドを連続で実行する
改善時間 ：1ピンあたり1.2uS","The testing unit class process in each of the following class types has been optimized to improve the execution time:

Class Name: DPSVSIMGRP
Process Condition: Specify two or more DPSVSIM objects in the dpsvsim data member in the class descriptions and then execute the Load() method.
Improvement Accomplishment: 600uS to 1.3mS

Class Name: SEQUENCE
Process Condition: Continuously execute the PreExec() method  or continuously execute the PostExec() method in the class measurement.
Improvement Accomplishment:
1.2uS per pin",,,,,AT_T6KCommon_x64,内部変更のため、マニュアルに変更はありません。,There is no change in the Manual for the internal change.,PLXM20-MD,UN_ASDSoft1.xls,ASDソフト1課 斉木
R1.02_01,最終入力日付：9/11,BTS00028547,Enhancement,TDL,Testing Unit Class,DPSVSIMGRPクラスの新たな書式の追加,Addition of the new format to the DPSVSIMGRP class definitions.,DPSVSIMGRPクラスのdpsvsimデータ・メンバに、複数のDPSVSIMオブジェクトを指定できる書式を追加しました。,New format is supported of the DPSVSIMGRP class descriptions that accepts two or more DPSVSIM objects specified in the dpsvsim data member of the class.,,,,,AT_T6KCommon_x64,T6391 システム・ソフトウェア TDLリファレンス・マニュアル テスティング・ユニット・クラス編,T6391 System Software TDL Reference Manual Testing Unit Class,PLXM20-MD,UN_ASDSoft1.xls,ASDソフト1課 斉木
R1.02_01,最終入力日付：9/1,BTS00028461,Enhancement,TDL,Testing Unit Class,AVRSAMPクラスのperiodデータ・メンバの追加,"Support the new ""period"" data member to be added to those in the AVRSAMP class.","AVRSAMPクラスにperiodデータ・メンバを追加し、1uSまたは100uSのサンプリング周期を設定できるようにしました。
periodデータ・メンバを設定することにより、MEASURE_DPSAVRIMクラスで100uS間隔の測定に加え、1uS間隔の測定もできるようにしました。","Support the new ""period"" data member to be added to those in the AVRSAMP class so as to realize the enhanced sampling execution cycle of 100uS or as fast as 1uS.
Specifying the period data member in the AVRSAMP class will make the 1uS-sampling execution cycle take effect on top of the relevant MEASURE_DPSVARIM class supported one of 100uS.",,,,,AT_T6KCommon_x64,T6391 システム・ソフトウェア TDLリファレンス・マニュアル テスティング・ユニット・クラス編,T6391 System Software TDL Reference Manual Testing Unit Class,PLXM20-MD,UN_ASDSoft1.xls,ASDソフト1課 栗原
R1.02_01,,BTS00028508,Enhancement,TDL,Testing Unit Class,CONTACTクラスにドライバ波形の印加を行わない機能の対応,Support the user-selection function of not applying a waveform to the CONTACT class.,CONTACTクラスのOff()メソッド、OffNum()メソッドの引数REFMODEにドライバ波形の印加を行わないCLOCK_INHIBIT指定を追加しました。,Support the CLOCK_INHIBIT function that user can specify if choosing not to apply a waveform to the REFMODE argument of the Off() method or the OffNum() method in the CONTACT class.,,,,,AT_T6KCommon_x64,T6391 システム・ソフトウェア TDLリファレンス・マニュアル テスティング・ユニット・クラス編,T6391 System Software TDL Reference Manual Testing Unit Class,PLXM20-MD,UN_ASDSoft3.xls,ASDSoft3三俣
R1.02_01,,BTS00028031,Enhancement,TDL,Testing Unit Class,STDF対応,Support for STDF,"STDFの出力に対応しました。

(1) 測定用クラスのSTDF対応
  以下の測定用クラスをSTDFの出力に対応しました。
    ・JUDGE_ACクラス
    ・JUDGEクラス
    ・MEASURE_ACクラス
    ・MEASURE_DPSAVRIMクラス
    ・MEASURE_DPSIMクラス
    ・MEASURE_DPSVMクラス
    ・MEASURE_FREQクラス
    ・MEASURE_FTクラス
    ・MEASURE_IMクラス
    ・MEASURE_PERIODクラス
    ・MEASURE_VMクラス

  STDFソフトウェアが有効なとき、各クラスのExec()メソッド実行時に測定データを取得します。

(2)STDFVarsクラスの対応

STDFVarsクラスを使用することで、STDFログ・ファイルに出力するデータを指定できるようになりました。","STDF output has been supported.

(1) Support of STDF output by measurement classes
  The following measurement classes now support STDF output:
    - JUDGE_AC class
    - JUDGE class
    - MEASURE_AC class
    - MEASURE_DPSAVRIM class
    - MEASURE_DPSIM class
    - MEASURE_DPSVM class
    - MEASURE_FREQ class
    - MEASURE_FT class
    - MEASURE_IM class
    - MEASURE_PERIOD class
    - MEASURE_VM class

  When the STDF software is enabled, measurement data is now obtained when the Exec() method of the preceding classes is executed.

(2) Support for the STDFVars class

Data to be output to the STDF log file can now be specified by using the STDFVars class.",,,,,AT_T6KCommon_x64,"T6391 システム・ソフトウェア STDF ユーザーズ・マニュアル,T6391 システム・ソフトウェア TDLリファレンス・マニュアル テスティング・ユニット・クラス編","T6391 System Software STDF User's Manual,T6391 System Software TDL Reference Manual Testing Unit Class",PLXM20-MD,UN_ASDSoft3.xls,ASDSoft1中川/ASDソフト3 篠田
R1.02_01,,BTS00028549,Enhancement,TDL,Testing Unit Class,データ・ログのファイル出力時の高速化,Optimization of the datalog file output process to realize the shorter duration.,"DATALOGクラスのoutputデータ・メンバでファイルへの出力を指定した場合の実行時間を高速化しました。(DataLog Setup Window での設定も含む)
改善時間 ： 数十uS

データ・ログの対象クラスは以下の通り

対象クラス ： 
・MEASURE_IM
・MEASURE_VM
・MEASURE_DPSIM
・MEASURE_DPSVM
・MEASURE_DPSAVRIM
・MEASURE_AC
・MEASURE_FREQ
・MEASURE_PERIOD
・MEASURE_FT
・JUDGE
・JUDGE_AC","Datalog file output process (including that of the DataLog Setup window settings) that is made by specifying the output data member of the below listed DATALOG class types has been optimized to realize the following execution time:
 
Improvement accomplishment: Several ten uS.

Datalog classes of the process optimization target: 
 - MEASURE_IM
 - MEASURE_VM
 - MEASURE_DPSIM
 - MEASURE_DPSVM
 - MEASURE_DPSAVRIM
 - MEASURE_AC
 - MEASURE_FREQ
 - MEASURE_PERIOD
 - MEASURE_FT
 - JUDGE
 - JUDGE_AC",,,,,AT_T6KCommon_x64,内部変更のため、マニュアルに変更はありません。,There is no change in the Manual for the internal change.,PLXM20-MD,UN_ASDSoft3.xls,ASDSoft3 阪東
R1.02_01,,,,,,,,,,,,,,,,,,UN_APSoft4.xls,
R1.02_01,,,,,,,,,,,,,,,,,,UN_SoCSoft3.xls,
R1.02_01,,,,,,,,,,,,,,,,,,UN_SoCSoft6.xls,
R1.03_00,,BTS00028868,Defect,Cal/Diags,AC_Calibration(LCD256),Pre EvaluationモードでACキャリブレーション・データの状態が正しく表示できない現象,The AC calibration data status was not displayed correctly in Pre Evaluation mode.,T6391 LCDモジュールを交換したとき、Pre EvaluationモードでACキャリブレーションの状態を正しく表示できませんでした。,"When the T6391 LCD module was replaced, the AC calibration data status was not displayed correctly in Pre Evaluation mode.",上記のモジュールを交換したとき、Pre EvaluationモードでACキャリブレーション・データの状態を正しく表示できるようにしました。,The AC calibration data status can now be displayed correctly in Pre Evaluation mode after the above described module replacement procedure.,R1.00_00以降,R1.00_00 and later,AT_T6KAQMCD_x64,,,PLXM20-CD,UN_CPD.xls,CPD課　高先
R1.03_00,,BTS99999001,Defect,Cal/Diags,DC_Calibration(DM1Gbps),ACキャリブレーションおよび一部の診断項目でフェイルする現象,AC calibration and some diagnostic items failed.,"T6391 Digital IOモジュールのDCキャリブレーションの結果がパスしているにも関わらず、ACキャリブレーションおよび下記の診断項目で“Pattern Start Time Out”が発生して、フェイルすることがありました。

[診断項目]
・TEST 70610 PG DFM FAIL PATH CHECK 1       (MTX PATH)
・TEST 70611 PG DFM FAIL PATH CHECK 2       (DCL & MTX PATH)
・TEST 70630 PG DFM FLAGH PATH CHECK 2      (MTX PATH)
・TEST 70650 PG DFM FLAG PATH CHECK 2       (MTX PATH)
・TEST 70660 PG VGC FAIL PATH CHECK         (MTX PATH)
・TEST 70670 PG VGC FLAGH PATH CHECK        (MTX PATH)","The DC calibration result for the T6391 Digital IO module was ""pass"" but AC calibration and the following diagnostic items failed with ""Pattern Start Time Out.""

[Diagnostic item]
 - TEST 70610 PG DFM FAIL PATH CHECK 1       (MTX PATH)
 - TEST 70611 PG DFM FAIL PATH CHECK 2       (DCL & MTX PATH)
 - TEST 70630 PG DFM FLAGH PATH CHECK 2      (MTX PATH)
 - TEST 70650 PG DFM FLAG PATH CHECK 2       (MTX PATH)
 - TEST 70660 PG VGC FAIL PATH CHECK         (MTX PATH)
 - TEST 70670 PG VGC FLAGH PATH CHECK        (MTX PATH)",上記の診断項目およびACキャリブレーションがパスするようにしました。,The above listed diagnostic items and AC calibration can now be executed correctly.,R1.00_00以降,R1.00_00 and later,AT_T6KAQMCD_x64,,,PLXM20-CD,UN_CPD.xls,PG開発3課　松浦
R1.03_00,,BTS99999002,Defect,Cal/Diags,DC_Calibration(DM8Gbps),ACキャリブレーションおよび一部の診断項目でフェイルする現象,AC calibration and some diagnostic items failed.,"T6391 UHSIFモジュールのDCキャリブレーションの結果がパスしているにも関わらず、ACキャリブレーションおよび下記の診断項目で“Pattern Start Time Out”が発生して、フェイルすることがありました。

[診断項目]
・TEST 70010 PG DFM FAIL PATH CHECK 1       (MTX PATH)","The DC calibration result for the T6391 UHSIF module was ""pass"" but AC calibration and the following diagnostic item failed with ""Pattern Start Time Out.""

[Diagnostic item]
 - TEST 70010 PG DFM FAIL PATH CHECK 1       (MTX PATH)",上記の診断項目およびACキャリブレーションがパスするようにしました。,The above listed diagnostic item and AC calibration can now be executed correctly.,R1.00_00以降,R1.00_00 and later,AT_T6KDM8GbpsCD_x64,,,PLXM20-CD,UN_CPD.xls,PG開発3課　松浦
R1.03_00,,BTS00028872,Defect,Cal/Diags,Structural_Diagnostics(LCD256),フェイルしたモジュール情報が正しく表示できない現象,The failed module information was not displayed correctly.,T6391 LCDモジュールで診断がフェイルした場合、フェイルしたモジュールの規格とシリアル番号が正しく表示できないことがありました。,"When the diagnostics for the T6391 LCD module failed, the specification and serial number of the failed module were sometimes displayed incorrectly.",診断を実行したとき、フェイルしたモジュールの規格とシリアル番号を正しく表示するようにしました。,The specification and serial number of the failed module are now displayed correctly when diagnostics is executed.,R1.00_00以降,R1.00_00 and later,AT_T6KAQMCD_x64,,,PLXM20-CD,UN_CPD.xls,CPD課　高先
R1.03_00,,BTS00028870,Defect,Cal/Diags,Structural_Diagnostics(System),T6391 Digital IOモジュールのログ表示が正しく行われない現象,The T6391 Digital IO module log was not displayed correctly.,"T6391 Digital IOモジュール以外のDCキャリブレーションおよび診断を実行した場合、""CONFIGURATION INFORMATION""にDigital IOモジュールの名称として""DM1R6GBPS""ではなく""DM1GBPS""と表示されることがありました。","When DC calibration and diagnostics were executed for modules other than the T6391 Digital IO module, instead of ""DM1R6GBPS,"" ""DM1GBPS"" was sometimes displayed as the Digital IO module name in ""CONFIGURATION INFORMATION.""",Digital IOモジュールの名称を正しく表示するようにしました。,The name of the Digital IO module is now displayed correctly.,R1.00_00以降,R1.00_00 and later,"AT_T6KAQMCD_x64,AT_T6KDM8GbpsCD_x64,AT_T6KRC5VECD_x64,AT_T6KSGM208CD_x64",,,PLXM20-CD,UN_CPD.xls,CPD課　高先
R1.03_00,,BTS00028874,Defect,Cal/Diags,Structural_Diagnostics(System),SYSTEM INFORMATIONのログ表示が正しく行われない現象,The SYSTEM INFORMATION log was not displayed correctly.,"DCキャリブレーションおよび診断のログ表示中の""SYSTEM INFORMATION""で、HiFIX情報を表す項目名が”HIFIX TYPE”と表示されていました。","In ""SYSTEM INFORMATION"" of the DC calibration and diagnostic log, ""HIFIX TYPE"" was displayed as an item name for HiFIX information.","項目名として""HIFIX ID""を表示するようにしました。","""HIFIX ID"" is now displayed as the item name.",R1.02_00以降,R1.02_00 and later,"AT_T6KAQMCD_x64,AT_T6KDM8GbpsCD_x64,AT_T6KRC5VECD_x64,AT_T6KSGM208CD_x64",,,PLXM20-CD,UN_CPD.xls,CPD課　高先
R1.03_00,2015/11/19修正,BTS00028729,Defect,GUI_Tools,HidarTool,統計処理結果の最大値が正しく表示されない現象,Correct statistics data was not displayed at its maximum.,"収集したデータが単位無しのdouble型の場合に、統計処理の対象範囲内に入る測定値がひとつも無いアイテムの最大値には""-3.402823466e+38""という値が表示されるところ、""-3.402823466e+3""と表示されていました。","When measurement data is double type without electrical unit and there is no value within
the range for the corresponding statistical process result, the maximum value must be displayed
as ""-3.402823466e+38"" while it was displayed as ""-3.402823466e+3"" actually.","収集したデータがdouble型の時にも、統計処理の対象範囲内に入る測定値がひとつも無いアイテムの最大値に""-3.402823466e+38""という値が表示されるようにしました。","The maximum measurement value is displayed as ""-3.402823466e+38"" even when the measurement
condition is the above.",R1.02_00以降,R1.02_00 and later,AT_T6KCommon_x64,,,PLXM20-MD,UN_APSoft1.xls,辻
R1.03_00,,BTS00028752,Defect,GUI_Tools,STDF Tool,STDF_FTR_FAIL_REC_MAXを変更するとエラーが発生する現象,An error occurred when STDF_FTR_FAIL_REC_MAX was changed.,"[File Format]タブでSTDF_FTR_FAIL_REC_MAXを変更するとエラーが発生して、設定値が変更できませんでした。

[エラー・メッセージ]
Error HRESULT E_FAIL has been returned from a call to a COM component.","When STDF_FTR_FAIL_REC_MAX was changed in the [File Format] tab, an error occurred and the settings could not be changed.

[Error message]
Error HRESULT E_FAIL has been returned from a call to a COM component.",[File Format]タブでSTDF_FTR_FAIL_REC_MAXを変更してもエラーが発生せず、設定値を変更できるようにしました。,"An error does not occur when STDF_FTR_FAIL_REC_MAX is changed in the [File Format] tab, and the settings can now be changed.",R1.02_01以降,R1.02_01 and later,OAI_T6KOS_x64,,,"PLXE61,PLXT61",UN_APSoft1.xls,綿貫
R1.03_00,"11/25
追加",BTS00028899,Defect,GUI_Tools,SystemViewer,DPSデータのFilterが正しく表示できない現象,Filter setting of DPS data could not be displayed correctly.,テスト・プラン・プログラムにおいて、DPSVSIMクラスのFilterデータ・メンバにONとF1KHZが設定されている場合、1.000kHzを表示していました。,"When ON and F1KHZ was set to Filter data member of DPSVSIM class in the test plan program, the Filter was displayed as 1.000kHz.",テスト・プラン・プログラムにおいて、DPSVSIMクラスのFilterデータ・メンバにONとF1KHZが設定されている場合、F1KHZが表示できるようにしました。,"When ON and F1KHZ is set to Filter data member of DPSVSIM class in the test plan program, the Filter is displayed as F1KHZ.",R1.00_00以降,R1.00_00 and later,OAI_T6KOS_x64,,,"PLXE61,PLXT61",UN_APSoft1.xls,綿貫
R1.03_00,"11/25
追加",BTS00028901,Defect,GUI_Tools,SystemViewer,LPPDCデータが正しく表示できない現象,LPPDC data could not be displayed correctly.,"テスト・プラン・プログラムにおいて、VSIMクラス、ISVMクラスのRescデータ・メンバにLPPDCが設定されている場合、以下のLPPDCデータが正しく表示できないことがありました。

・Slew
・Filter
・src
・power-off","When LPPDC was set to the Resc data member of VSIM class or ISVM class in the test plan program, the following LPPDC data sometimes could not be displayed:

- Slew
- Filter
- src
- power-off","テスト・プラン・プログラムにおいて、VSIMクラス、ISVMクラスのRescデータ・メンバにLPPDCが設定されていても、以下のLPPDCデータを正しく表示できるようにしました。

・Slew
・Filter
・src
・power-off","When LPPDC is set to the Resc data member of VSIM class or ISVM class in the test plan program, the following LPPDC data can be displayed correctly:

- Slew
- Filter
- src
- power-off",R1.01_00以降,R1.01_00 and later,OAI_T6KOS_x64,,,"PLXE61,PLXT61",UN_APSoft1.xls,綿貫
R1.03_00,"10/19追加
10/23赤字修正",BTS00028716,Defect,GUI_Tools,TestControlPanel,Clear PG Memoryでエラーになる現象,An error occurred in Clear PG Memory.,"ひとつのLPATプログラムがVECTORFILEクラスおよびVECTORFILEGRPクラスに複数登録されている場合、Clear PG Memoryでエラーが発生していました。

[エラー・メッセージ]
Error occurred.
Unable to unload pattern '<LPAT filename>'.
The pattern is referred by the other patterns or the pattern lists.
Please release all reference to the pattern before unload it.","When one LPAT program was registered several times in the VECTORFILE and VECTORFILEGRP classes, an error occurred in Clear PG Memory.

[Error message]
Error occurred.
Unable to unload pattern '<LPAT filename>'.
The pattern is referred by the other patterns or the pattern lists.
Please release all reference to the pattern before unload it.",Clear PG Memoryでエラーにならず正常にPGメモリをクリアするようにしました。,An error does not occur in Clear PG Memory and PG memory can now be cleared correctly.,R1.00_00以降,R1.00_00 and later,OAI_T6KOS_x64,,,PLXT61,UN_ASDSoft3.xls,ASDSoft3三俣
R1.03_00,,BTS00028858,Defect,GUI_Tools,WaveTool,"LCDピンのパターン・ニーモニック""X""が記述されたサイクルに波形が表示される現象","A waveform was displayed in the cycle where ""X"" was described as LCD pin pattern mnemonic.","LogicAnalyzerで、LCDピンを2ピン以上同時にサンプリングした場合、
LCDピンのパターン・ニーモニックに""X""が記述されたサイクルに間違った波形を表示していました。","If two or more LCD pins were simultaneously sampled by LogicAnalyzer, an incorrect waveform was displayed in the cycle where ""X"" is described as LCD pin pattern mnemonic.","上記の条件で、LCDピンのパターン・ニーモニックに""X""が記述されたサイクルに波形を表示しないようにしました。","Now, under the preceding conditions, a waveform is not displayed in the cycle where ""X"" is described as LCD pin pattern mnemonic.",R1.02_00以降,R1.02_00 and later,AT_T6KAQM_x64,,,PLXM20-MD,UN_APSoft1.xls,須藤
R1.03_00,BTS24191を参考流用,BTS00028766,Defect,Installer,Installer,tssctrl activateコマンドで.BAKディレクトリが作成される現象,A .BAK directory was created by the tssctrl activate command.,tssctrl activateコマンドでは異なるディレクトリをアクティベートします。そのため、バックアップ用ディレクトリの作成は不要でしたが、.BAKディレクトリを作成していました。,"The tssctrl activate command activates a different directory. For this reason, a directory for backup did not need to be created, but a .BAK directory was created.",tssctrl activateコマンドでは、.BAKディレクトリを作成しないようにしました。,A .BAK directory is no longer created by the tssctrl activate command.,R1.00_00以降,R1.00_00 and later,T6KServices_x64,,,"PLXE61,PLXT61",UN_SoCSoft6.xls,佐治
R1.03_00,BTS26079を参考流用,BTS00028768,Defect,Installer,Installer,tssctrl activateコマンド・メニューから「Start TSS After Activation Operation」が使用できない現象,"""Start TSS After Activation Operation"" could not be used from the tssctrl activate command menu.",tssctrl activateコマンド・メニューから「Start TSS After Activation Operation」を指定してもアクティベーション後、TSSが起動しませんでした。,"Even though ""Start TSS After Activation Operation"" was specified from the tssctrl activate command menu, TSS did not start up after activation.",tssctrl activateコマンド・メニューから「Start TSS After Activation Operation」を指定するとアクティベーション後、TSSが起動できるようになりました。,"By specifying ""Start TSS After Activation Operation"" from the tssctrl activate command menu, TSS can now be started after activation.",R1.00_00以降,R1.00_00 and later,T6KServices_x64,,,"PLXE61,PLXT61",UN_SoCSoft6.xls,佐治
R1.03_00,11/13 追加,BTS00028878,Defect,TDL,TDL Interpreter,TDLテスト・プラン・プログラムのロード時に、ローカルスコープのソケット情報を抽出する現象,TDL test plan program loading would make the socket information of the local scope extracted.,TDLテスト・プラン・プログラムのロード時はソケット情報の抽出はローカルスコープを対象としませんが、関数スコープ以外のローカルスコープも抽出していました。,TDL test plan program loading would make the socket information of the local scope save its function scope extracted though the legal operation should not extract the socket information out of the global scope.,"ソケット情報は関数スコープ以外のローカルスコープから抽出せず、
グローバルスコープのみから抽出するようにしました。",Socket information is not extracted from the local scope except its function scope but from the global scope only.,R1.00_00以降,R1.00_00 and later,AT_T6KCommon_x64,,,PLXM20-MD,UN_ASDSoft3.xls,ASDSoft3　工藤
R1.03_00,"2015/12/7
追加",BTS00028951,Defect,TDL,TDL Interpreter,tdl_codeコマンドの引数をシングルクォートで囲むとシンタックス・エラーとなる現象。,A syntax error occurred when the argument of the tdl_code command was enclosed in single quotes.,"tdl_codeコマンドの引数のTDLステートメントをシングルクォートで囲んだ場合、シンタックス・エラーとなりロードできませんでした。

[エラーメッセージ]
File NONAME line 1: ER-TDL2078: syntax error at or before:","TDL statements enclosed in single quotes could not be loaded by the tdl_code command encountering a syntax error.

[Error message]
File NONAME line 1: ER-TDL2078: syntax error at or before:.",tdl_codeコマンドの引数のTDLステートメントをシングルクォートで囲んでもロードできるようにしました。,TDL statements enclosed in single quotes can now be loaded by the tdl_code command.,R1.02_01以降,R1.02_01 and later,AT_T6KCommon_x64,,,PLXM20-MD,UN_ASDSoft3.xls,ASDSoft3　工藤
